class,method,slot,note
Actor,KillDying,0xCB,F4 NG 1.10.984; assumed same flat layout as OG -- no per-version vfunc-insertion evidence found
Actor,Resurrect,0xCC,
Actor,PutActorInChairBedQuick,0xCD,
Actor,PutActorOnMountQuick,0xCE,
Actor,Update,0xCF,
Actor,UpdateNoAI,0xD0,
Actor,UpdateMotionDrivenState,0xD1,
Actor,UpdateCharacterControllerSimulationSettings,0xD2,
Actor,PotentiallyFixRagdollState,0xD3,
Actor,UpdateNonRenderSafe,0xD4,
PlayerCharacter,Update,0xCF,inherited slot
