class,method,slot,note
PlayerCharacter,Resurrect,0xCC,F4 OG canonical layout per CommonLibF4 // 0CC
PlayerCharacter,PutActorInChairBedQuick,0xCD,// 0CD
PlayerCharacter,Update,0xCF,// 0CF (Update sits at the canonical slot)
PlayerCharacter,UpdateMotionDrivenState,0xD1,// 0D1
PlayerCharacter,UpdateNonRenderSafe,0xD4,// 0D4
PlayerCharacter,ShouldHandleEquipNow,0xD5,// 0D5
