class,vtable_addr,slot,func_addr,func_name,fingerprint
ActivateHandler,0x0,0,0x140DDE2D0,,
ActivateHandler,0x0,1,0x140DE1F90,,
ActivateHandler,0x0,2,0x140373550,,
ActivateHandler,0x0,3,0x140373540,,
ActivateHandler,0x0,4,0x140373570,,
ActivateHandler,0x0,5,0x140373530,,
ActivateHandler,0x0,6,0x140373560,,
ActivateHandler,0x0,7,0x140373520,,
ActivateHandler,0x0,8,0x140DDEE60,,
ActivateHandler,0x0,9,0x140DE19C0,,
ActivateHandler,0x0,10,0x140DD9720,,
ActivateHandler,0x0,11,0x140DE1F80,,
ActiveEffect,0x0,0,0x140B777B0,,
ActiveEffect,0x0,1,0x140B74000,,
ActiveEffect,0x0,2,0x140B741C0,,
ActiveEffect,0x0,3,0x140B73040,,
ActiveEffect,0x0,4,0x140B742B0,,
ActiveEffect,0x0,5,0x140B77950,,
ActiveEffect,0x0,6,0x140B74680,,
ActiveEffect,0x0,7,0x140B749D0,,
ActiveEffect,0x0,8,0x140B74D80,,
ActiveEffect,0x0,9,0x140B74D90,,
ActiveEffect,0x0,10,0x140B73050,,
ActiveEffect,0x0,11,0x140B74DA0,,
ActiveEffect,0x0,12,0x140B750A0,,
ActiveEffect,0x0,13,0x140B75480,,
ActiveEffect,0x0,14,0x140B75500,,
ActiveEffect,0x0,15,0x140B75830,,
ActiveEffect,0x0,16,0x140B73020,,
ActiveEffect,0x0,17,0x140B73060,,
ActiveEffect,0x0,18,0x140B73030,,
ActiveEffect,0x0,19,0x140B75B80,,
ActiveEffect,0x0,20,0x140B75BA0,,
ActiveEffect,0x0,21,0x140B75C20,,
ActiveEffect,0x0,22,0x140B77940,,
ActiveEffect,0x0,23,0x140B77930,,
ActiveEffect,0x0,24,0x140B75D00,,
ActiveEffect,0x0,25,0x140B76920,,
ActiveEffect,0x0,26,0x140B76930,,
ActiveEffectReferenceEffectController,0x0,0,0x140B77890,,
ActiveEffectReferenceEffectController,0x0,1,0x140B95DF0,,
ActiveEffectReferenceEffectController,0x0,2,0x140B95E10,,
ActiveEffectReferenceEffectController,0x0,3,0x140B95E20,,
ActiveEffectReferenceEffectController,0x0,4,0x140B95E80,,
ActiveEffectReferenceEffectController,0x0,5,0x140B95EA0,,
ActiveEffectReferenceEffectController,0x0,6,0x140B95EC0,,
ActiveEffectReferenceEffectController,0x0,7,0x140B95F30,,
ActiveEffectReferenceEffectController,0x0,8,0x140B95F50,,
ActiveEffectReferenceEffectController,0x0,9,0x140B95F70,,
ActiveEffectReferenceEffectController,0x0,10,0x140B95F90,,
ActiveEffectReferenceEffectController,0x0,11,0x140B96020,,
ActiveEffectReferenceEffectController,0x0,12,0x140B96070,,
ActiveEffectReferenceEffectController,0x0,13,0x140B960C0,,
ActiveEffectReferenceEffectController,0x0,14,0x140B96110,,
ActiveEffectReferenceEffectController,0x0,15,0x140B95600,,
ActiveEffectReferenceEffectController,0x0,16,0x140B95630,,
ActiveEffectReferenceEffectController,0x0,17,0x140B95640,,
ActiveEffectReferenceEffectController,0x0,18,0x140B95650,,
ActiveEffectReferenceEffectController,0x0,19,0x140B95660,,
ActiveEffectReferenceEffectController,0x0,20,0x140B95670,,
ActiveEffectReferenceEffectController,0x0,21,0x140B95680,,
ActiveEffectReferenceEffectController,0x0,22,0x140B956C0,,
ActiveEffectReferenceEffectController,0x0,23,0x140B96120,,
ActiveEffectReferenceEffectController,0x0,24,0x140B96180,,
ActiveEffectReferenceEffectController,0x0,25,0x140B956F0,,
ActiveEffectReferenceEffectController,0x0,26,0x140B95700,,
ActiveEffectReferenceEffectController,0x0,27,0x140B95710,,
ActiveEffectReferenceEffectController,0x0,28,0x140B95720,,
ActiveEffectReferenceEffectController,0x0,29,0x140B95730,,
ActiveEffectReferenceEffectController,0x0,30,0x140B96270,,
ActiveEffectReferenceEffectController,0x0,31,0x140B96290,,
ActiveEffectReferenceEffectController,0x0,32,0x140B962A0,,
ActiveEffectReferenceEffectController,0x0,33,0x140B962F0,,
ActiveEffectReferenceEffectController,0x0,34,0x140B96320,,
ActorKnowledge,0x0,0,0x140DF08E0,,
ActorKnowledge,0x0,1,0x1416BA6D0,,
ActorLookCameraState,0x0,0,0x140834940,,
ActorLookCameraState,0x0,1,0x140834630,,
ActorLookCameraState,0x0,2,0x140833910,,
ActorLookCameraState,0x0,3,0x140833920,,
ActorMagicCaster,0x0,0,0x140B7AC90,,
ActorMagicCaster,0x0,1,0x140B78150,,
ActorMagicCaster,0x0,2,0x140B825E0,,
ActorMagicCaster,0x0,3,0x140B82750,,
ActorMagicCaster,0x0,4,0x140B77B90,,
ActorMagicCaster,0x0,5,0x140B77C70,,
ActorMagicCaster,0x0,6,0x140B77D50,,
ActorMagicCaster,0x0,7,0x140B77DE0,,
ActorMagicCaster,0x0,8,0x140B78000,,
ActorMagicCaster,0x0,9,0x140B77EF0,,
ActorMagicCaster,0x0,10,0x140B78670,,
ActorMagicCaster,0x0,11,0x140B78960,,
ActorMagicCaster,0x0,12,0x140B7A110,,
ActorMagicCaster,0x0,13,0x140B78050,,
ActorMagicCaster,0x0,14,0x140B85880,,
ActorMagicCaster,0x0,15,0x140B78060,,
ActorMagicCaster,0x0,16,0x140B78130,,
ActorMagicCaster,0x0,17,0x140B79770,,
ActorMagicCaster,0x0,18,0x140B796B0,,
ActorMagicCaster,0x0,19,0x140B79710,,
ActorMagicCaster,0x0,20,0x140B798A0,,
ActorMagicCaster,0x0,21,0x140B85B30,,
ActorMagicCaster,0x0,22,0x140B78EC0,,
ActorMagicCaster,0x0,23,0x140B78ED0,,
ActorMagicCaster,0x0,24,0x140B78EE0,,
ActorMagicCaster,0x0,25,0x140B79910,,
ActorMagicCaster,0x0,26,0x140B79A50,,
ActorMagicCaster,0x0,27,0x140B79BB0,,
ActorMagicCaster,0x0,28,0x140B79DF0,,
ActorMagicCaster,0x0,29,0x140B7A080,,
ActorMediator,0x0,0,0x140CE9630,,
ActorMediator,0x0,1,0x140CE9440,,
ActorMovementDeltaSmoothedChannel,0x0,0,0x140DF4A00,,
ActorMovementDeltaSmoothedChannel,0x0,1,0x1422BCB92,,
ActorMover,0x0,0,0x140DC4720,,
ActorPackageData,0x0,0,0x140763270,,
ActorPackageData,0x0,1,0x1422BCB92,,
ActorPackageData,0x0,2,0x1407633A0,,
ActorPackageData,0x0,3,0x1407633D0,,
ActorPackageData,0x0,4,0x140763380,,
ActorPackageData,0x0,5,0x1422BCB92,,
ActorPackageData,0x0,6,0x1422BCB92,,
ActorPackageData,0x0,7,0x1407633B0,,
ActorPackageData,0x0,8,0x1407633C0,,
ActorSpeedSmoothedChannel,0x0,0,0x140DF4A30,,
ActorSpeedSmoothedChannel,0x0,1,0x140DF40A0,,
ActorState,0x0,0,0x140CEB6A0,,
ActorState,0x0,1,0x1422BCB92,,
ActorState,0x0,2,0x1422BCB92,,
ActorState,0x0,3,0x1422BCB92,,
ActorState,0x0,4,0x1422BCB92,,
ActorState,0x0,5,0x1422BCB92,,
ActorState,0x0,6,0x1422BCB92,,
ActorState,0x0,7,0x1422BCB92,,
ActorState,0x0,8,0x1422BCB92,,
ActorState,0x0,9,0x1422BCB92,,
ActorState,0x0,10,0x1422BCB92,,
ActorState,0x0,11,0x1422BCB92,,
ActorState,0x0,12,0x1422BCB92,,
ActorState,0x0,13,0x1422BCB92,,
ActorState,0x0,14,0x1422BCB92,,
ActorState,0x0,15,0x1422BCB92,,
ActorState,0x0,16,0x1422BCB92,,
ActorState,0x0,17,0x1422BCB92,,
ActorState,0x0,18,0x1422BCB92,,
ActorState,0x0,19,0x1422BCB92,,
ActorState,0x0,20,0x1422BCB92,,
ActorState,0x0,21,0x1422BCB92,,
ActorState,0x0,22,0x1422BCB92,,
ActorState,0x0,23,0x1422BCB92,,
ActorState,0x0,24,0x1422BCB92,,
ActorState,0x0,25,0x1422BCB92,,
ActorState,0x0,26,0x1422BCB92,,
ActorState,0x0,27,0x1422BCB92,,
ActorState,0x0,28,0x1422BCB92,,
ActorState,0x0,29,0x1422BCB92,,
ActorState,0x0,30,0x1422BCB92,,
ActorState,0x0,31,0x140CEAE30,,
ActorState,0x0,32,0x1422BCB92,,
ActorState,0x0,33,0x140CEAB90,,
ActorState,0x0,34,0x140CEABD0,,
ActorState,0x0,35,0x1422BCB92,,
ActorState,0x0,36,0x1422BCB92,,
ActorState,0x0,37,0x1422BCB92,,
ActorState,0x0,38,0x140CEAE20,,
ActorTargetCheck,0x0,0,0x140B88A80,,
ActorTargetCheck,0x0,1,0x140B88C20,,
ActorTurnDeltaSmoothedChannel,0x0,0,0x140DF4A60,,
ActorTurnDeltaSmoothedChannel,0x0,1,0x140DF4220,,
ActorValueInfo,0x0,0,0x1406FDBF0,,
ActorValueInfo,0x0,1,0x14024EE50,,
ActorValueInfo,0x0,2,0x140310BC0,,
ActorValueInfo,0x0,3,0x140310CB0,,
ActorValueInfo,0x0,4,0x14024DAB0,,
ActorValueInfo,0x0,5,0x14024DAD0,,
ActorValueInfo,0x0,6,0x140312FD0,,
ActorValueInfo,0x0,7,0x140310BB0,,
ActorValueInfo,0x0,8,0x1406FD360,,
ActorValueInfo,0x0,9,0x1406FD570,,
ActorValueInfo,0x0,10,0x140262450,,
ActorValueInfo,0x0,11,0x140262440,,
ActorValueInfo,0x0,12,0x1403110B0,,
ActorValueInfo,0x0,13,0x140311510,,
ActorValueInfo,0x0,14,0x140311570,,
ActorValueInfo,0x0,15,0x1403115A0,,
ActorValueInfo,0x0,16,0x1403115B0,,
ActorValueInfo,0x0,17,0x1403115C0,,
ActorValueInfo,0x0,18,0x140311650,,
ActorValueInfo,0x0,19,0x140311750,,
ActorValueInfo,0x0,20,0x140311760,,
ActorValueInfo,0x0,21,0x140311770,,
ActorValueInfo,0x0,22,0x1402F24C0,,
ActorValueInfo,0x0,23,0x1403120D0,,
ActorValueInfo,0x0,24,0x140262150,,
ActorValueInfo,0x0,25,0x1402622B0,,
ActorValueInfo,0x0,26,0x140312300,,
ActorValueInfo,0x0,27,0x1402621E0,,
ActorValueInfo,0x0,28,0x140262290,,
ActorValueInfo,0x0,29,0x140262270,,
ActorValueInfo,0x0,30,0x140262390,,
ActorValueInfo,0x0,31,0x1402623A0,,
ActorValueInfo,0x0,32,0x140262100,,
ActorValueInfo,0x0,33,0x1402624D0,,
ActorValueInfo,0x0,34,0x140262250,,
ActorValueInfo,0x0,35,0x1402624E0,,
ActorValueInfo,0x0,36,0x140262260,,
ActorValueInfo,0x0,37,0x140262210,,
ActorValueInfo,0x0,38,0x1403125D0,,
ActorValueInfo,0x0,39,0x1402621D0,,
ActorValueInfo,0x0,40,0x1403126E0,,
ActorValueInfo,0x0,41,0x140312740,,
ActorValueInfo,0x0,42,0x140262500,,
ActorValueInfo,0x0,43,0x140267300,,
ActorValueInfo,0x0,44,0x140262510,,
ActorValueInfo,0x0,45,0x140267310,,
ActorValueInfo,0x0,46,0x1402672E0,,
ActorValueInfo,0x0,47,0x1402672F0,,
ActorValueInfo,0x0,48,0x140262DE0,,
ActorValueInfo,0x0,49,0x140262430,,
ActorValueInfo,0x0,50,0x140262420,,
ActorValueInfo,0x0,51,0x140262410,,
ActorValueInfo,0x0,52,0x1402672C0,,
ActorValueInfo,0x0,53,0x140312F90,,
ActorValueInfo,0x0,54,0x140312FC0,,
ActorValueInfo,0x0,55,0x140313180,,
ActorValueInfo,0x0,56,0x1403131D0,,
ActorValueInfo,0x0,57,0x1406FDD60,,
ActorValueInfo,0x0,58,0x1406FDD40,,
ActorValueInfo,0x0,59,0x1406FD990,,
ActorValueInfo,0x0,60,0x140313210,,
ActorValueInfo,0x0,61,0x140313220,,
ActorValueInfo,0x0,62,0x140262380,,
ActorValueInfo,0x0,63,0x140262460,,
ActorValueInfo,0x0,64,0x140267230,,
ActorValueInfo,0x0,65,0x1403132A0,,
ActorValueInfo,0x0,66,0x140262230,,
ActorValueInfo,0x0,67,0x1402624C0,,
ActorValueInfo,0x0,68,0x1402672A0,,
ActorValueInfo,0x0,69,0x1402672B0,,
ActorValueInfo,0x0,70,0x1402672D0,,
ActorValueInfo,0x0,71,0x140313850,,
ActorValueInfo,0x0,72,0x140313890,,
ActorValueInfo,0x0,73,0x1403138A0,,
ActorValueOwner,0x0,0,0x140523AB0,,
ActorValueOwner,0x0,1,0x140524B60,,
ActorValueOwner,0x0,2,0x140524CC0,,
ActorValueOwner,0x0,3,0x140524BD0,,
ActorValueOwner,0x0,4,0x140526AD0,,
ActorValueOwner,0x0,5,0x1405252C0,,
ActorValueOwner,0x0,6,0x1405252B0,,
ActorValueOwner,0x0,7,0x140524C20,,
ActorValueOwner,0x0,8,0x140526840,,
ActorValueOwner,0x0,9,0x140526AC0,,
ActorValueOwner,0x0,10,0x1406FE060,,
AddCellGrassTask,0x0,0,0x1402DD220,,
AddCellGrassTask,0x0,1,0x1402CC420,,
AddCellGrassTask,0x0,2,0x1402CC400,,
AddCellGrassTask,0x0,3,0x1402DD420,,
AddCellGrassTask,0x0,4,0x1417B2A70,,
AddCellGrassTask,0x0,5,0x1417B07F0,,
AddCellGrassTask,0x0,6,0x1402DDA80,,
AddCellGrassTask,0x0,7,0x1417B29E0,,
AddCellGrassTask,0x0,8,0x1417B08E0,,
AddCellGrassTask,0x0,9,0x1417B0940,,
AddCellGrassTask,0x0,10,0x1417B2CE0,,
AddCellGrassTask,0x0,11,0x1417B2CF0,,
AddCellGrassTask,0x0,12,0x1417B2D00,,
AddDataObjectListener,0x0,0,0x141294A10,,
AddDataObjectListener,0x0,1,0x14022EC00,,
AddDataObjectListener,0x0,2,0x141262FE0,,
AddDataObjectListener,0x0,3,0x141262FF0,,
AddDataObjectListener,0x0,4,0x1422BCB92,,
AddObjectListener,0x0,0,0x1418C5300,,
AddObjectListener,0x0,1,0x14022EC00,,
AddObjectListener,0x0,2,0x141262FE0,,
AddObjectListener,0x0,3,0x141262FF0,,
AddObjectListener,0x0,4,0x1422BCB92,,
AddPerkVisitor,0x0,0,0x140625460,,
AddRagdollHandler,0x0,0,0x140E073B0,,
AddRagdollHandler,0x0,1,0x140DFE640,,
AimModelPlayerComponent,0x0,0,0x140838A50,,
AimModelPlayerComponent,0x0,1,0x140837110,,
AimModelPlayerComponent,0x0,2,0x140837E80,,
AlarmPackage,0x0,0,0x140DE6200,,
AlarmPackage,0x0,1,0x14024EE50,,
AlarmPackage,0x0,2,0x140310BC0,,
AlarmPackage,0x0,3,0x140310CB0,,
AlarmPackage,0x0,4,0x14024DAB0,,
AlarmPackage,0x0,5,0x14024DAD0,,
AlarmPackage,0x0,6,0x140312FD0,,
AlarmPackage,0x0,7,0x140759660,,
AlarmPackage,0x0,8,0x140759710,,
AlarmPackage,0x0,9,0x1407597A0,,
AlarmPackage,0x0,10,0x140262450,,
AlarmPackage,0x0,11,0x140262440,,
AlarmPackage,0x0,12,0x1403110B0,,
AlarmPackage,0x0,13,0x140311510,,
AlarmPackage,0x0,14,0x140311570,,
AlarmPackage,0x0,15,0x1403115A0,,
AlarmPackage,0x0,16,0x1403115B0,,
AlarmPackage,0x0,17,0x140DE5CE0,,
AlarmPackage,0x0,18,0x140DE5E20,,
AlarmPackage,0x0,19,0x140DE5F80,,
AlarmPackage,0x0,20,0x140311760,,
AlarmPackage,0x0,21,0x14075E3E0,,
AlarmPackage,0x0,22,0x14075A2C0,,
AlarmPackage,0x0,23,0x1403120D0,,
AlarmPackage,0x0,24,0x140262150,,
AlarmPackage,0x0,25,0x1402622B0,,
AlarmPackage,0x0,26,0x140312300,,
AlarmPackage,0x0,27,0x1402621E0,,
AlarmPackage,0x0,28,0x140262290,,
AlarmPackage,0x0,29,0x140262270,,
AlarmPackage,0x0,30,0x140262390,,
AlarmPackage,0x0,31,0x1402623A0,,
AlarmPackage,0x0,32,0x140262100,,
AlarmPackage,0x0,33,0x1402624D0,,
AlarmPackage,0x0,34,0x140262250,,
AlarmPackage,0x0,35,0x1402624E0,,
AlarmPackage,0x0,36,0x140262260,,
AlarmPackage,0x0,37,0x140262210,,
AlarmPackage,0x0,38,0x1403125D0,,
AlarmPackage,0x0,39,0x1402621D0,,
AlarmPackage,0x0,40,0x1403126E0,,
AlarmPackage,0x0,41,0x140312740,,
AlarmPackage,0x0,42,0x140262500,,
AlarmPackage,0x0,43,0x140267300,,
AlarmPackage,0x0,44,0x140262510,,
AlarmPackage,0x0,45,0x140267310,,
AlarmPackage,0x0,46,0x1402672E0,,
AlarmPackage,0x0,47,0x1402672F0,,
AlarmPackage,0x0,48,0x140262DE0,,
AlarmPackage,0x0,49,0x140262430,,
AlarmPackage,0x0,50,0x140262420,,
AlarmPackage,0x0,51,0x140262410,,
AlarmPackage,0x0,52,0x14075F5B0,,
AlarmPackage,0x0,53,0x140312F90,,
AlarmPackage,0x0,54,0x140DE59A0,,
AlarmPackage,0x0,55,0x140313180,,
AlarmPackage,0x0,56,0x1403131D0,,
AlarmPackage,0x0,57,0x140262180,,
AlarmPackage,0x0,58,0x140262170,,
AlarmPackage,0x0,59,0x140262540,,
AlarmPackage,0x0,60,0x140313210,,
AlarmPackage,0x0,61,0x140313220,,
AlarmPackage,0x0,62,0x140262380,,
AlarmPackage,0x0,63,0x140262460,,
AlarmPackage,0x0,64,0x140267230,,
AlarmPackage,0x0,65,0x1403132A0,,
AlarmPackage,0x0,66,0x14075EED0,,
AlarmPackage,0x0,67,0x1402624C0,,
AlarmPackage,0x0,68,0x1402672A0,,
AlarmPackage,0x0,69,0x1402672B0,,
AlarmPackage,0x0,70,0x1402672D0,,
AlarmPackage,0x0,71,0x140313850,,
AlarmPackage,0x0,72,0x140313890,,
AlarmPackage,0x0,73,0x1403138A0,,
AlarmPackage,0x0,74,0x14075BF40,,
AlarmPackage,0x0,75,0x14075C3B0,,
AlarmPackage,0x0,76,0x14075C860,,
AlarmPackage,0x0,77,0x14075CB90,,
AlarmPackage,0x0,78,0x14075F5C0,,
AlchemyItem,0x0,0,0x140261EE0,,
AlchemyItem,0x0,1,0x14024EE50,,
AlchemyItem,0x0,2,0x140310BC0,,
AlchemyItem,0x0,3,0x140310CB0,,
AlchemyItem,0x0,4,0x14024DAB0,,
