target_va,name,source_exe,similarity,overlap
0x140639810,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4305,74
0x14063bee0,PenetrationRecoveryUtils::hknpBSIgnoreBodyCollisionFilter::Func7,Starfield.exe,0.4346,24
0x140644810,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4102,74
0x14064a150,InventoryUserUIInterfaceEntry::RemoveStackID,Fallout4_OG_1_10_163.exe,0.4807,29
0x14065ddc0,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_28d1330dc70c74bed2c3c324e969f574::_BSContainer::ForEachResult_TESForm_::Func2,Starfield.exe,0.4168,20
0x140670f00,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4950,73
0x140671600,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4950,73
0x140672190,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4950,73
0x140672c90,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4950,73
0x140673280,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4950,73
0x140683e90,BSRandom::Float0To1,Fallout4 AE.exe,0.7143,5
0x1406b8cd0,"BSTObjectArena<BSCuller,BSCullingGroup::CullerArenaAlloc,1>::Reserve",Fallout4_OG_1_10_163.exe,0.4058,14
0x1406b8e50,"BSTObjectArena<BSCuller,BSCullingGroup::CullerArenaAlloc,1>::Reserve",Fallout4_OG_1_10_163.exe,0.4058,14
0x1406b97a0,RTTI_stl::local_function_detail::LocalFunctionImpl::lambda_f0c986755d786d6b3225f048976579b3::void_BSResource2::DBHandle_BSResource2::TEntryTraits_0_LoadedCellDB::DBTraits_BSResource2::DBDefaultStreamPolicy::const_,Starfield.exe,0.4286,15
0x1406b9890,stl::local_function_detail::LocalFunctionImpl_std::reference_wrapper::lambda_92b1718621ee09200fb3293dcbf9fbea::_BSContainer::ForEachResult_BSTSmartPointer_NavMesh_BSNavigationGraphPolicy_const_::Func2,Starfield.exe,0.4571,16
0x140772bb0,"std::_Tree<std::_Tmap_traits<Json::Value::CZString,Json::Value,std::less<Json::Value::CZString>,std::allocator<std::pair<Json::Value::CZString,Json::Value>>,0>>::_Copy<std::integral_constant<bool,0>>",Fallout4_OG_1_10_163.exe,0.4092,19
0x1407a57e0,CRC32Calculator::SizeOf64,SkyrimAE_1_6_1170.exe,0.4360,21
0x14083bba0,_Pop_heap_hole_by_index<>,SkyrimAE_1_6_1170.exe,0.4615,33
0x1408592a0,InventoryDataModelNS::InventoryItem::Func3,Starfield.exe,0.4733,74
0x140881fe0,AnimationGraphData::WeightedClipData::WeightedClipData,Fallout4_OG_1_10_163.exe,0.4804,6
0x1408feda0,_Pop_heap_hole_by_index<>,SkyrimAE_1_6_1170.exe,0.5874,42
0x1408feea0,_Pop_heap_hole_by_index<>,SkyrimAE_1_6_1170.exe,0.5874,42
0x140968540,BSService::Detail::TCmd::lambda_6050264a05b7761be9833732b47df840::void_::Func2,Starfield.exe,0.4396,20
0x14096c040,BSTextureStreamer::zlibStreamDetail::Inflate,Fallout4_OG_1_10_163.exe,0.4629,3
0x1409b6c40,NavMeshObstacleCoverManager::Func17,Starfield.exe,0.4138,12
0x1409ee0b0,BSTempEffect::CreateEffectForLoadGame,Fallout4_OG_1_10_163.exe,0.5200,13
0x1409f13f0,BGSSpatialGridSearchBase_BGSSpatialGridSearchUtilitiesInternal::GridSearchPolicyWrapperDirect::_SearchPolicyStandard::::Func3,Starfield.exe,0.4688,86
