target_va,name
0x145fe18a8,RE::ID::TESDataHandler::Singleton
0x140b9a420,RE::ID::TESEquipEvent::GetEventSource
0x140384bd0,RE::ID::TESForm::DecRefCount
0x1405def30,RE::ID::TESForm::LookupByID
0x1405df0f0,RE::ID::TESForm::LookupByEditorID
0x140cd9b30,RE::ID::TESNPC::CopyAppearance
0x140cd9cb0,RE::ID::TESNPC::DeriveGeneticParentAppearance
0x1461ea138,RE::ID::TESNPCData::ChargenDataModel::Singleton
0x1416388a0,RE::ID::TESNPCData::ChargenDataModel::Update
0x142119780,RE::ID::TESObjectREFR::GetSpaceship
0x1404804c0,RE::ID::TESObjectREFR::HasKeyword
0x140b59470,RE::ID::TESObjectREFR::IsInSpace
0x142119780,RE::ID::TESObjectREFR::IsInSpaceship
0x145fe1900,RE::ID::UI::Singleton
0x142547180,RE::ID::UI::IsMenuOpen
0x1462c8360,RE::ID::UIBlurManager::Singleton
0x141ee5550,RE::ID::UIBlurManager::ProcessDefaultObjectsReadyEvent
0x141ee5580,RE::ID::UIBlurManager::ProcessBlurEvent
0x1461e5b40,RE::ID::UIMessageQueue::Singleton
0x142557980,RE::ID::UIMessageQueue::AddMessage
0x1437565e0,RE::ID::RTDynamicCast
